N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
495,KODEX 인도Nifty50,"14,445",하락 75,-0.52%,0,"4,536","31,400",0.04,"154,311",N/A,N/A
496,TIGER 반도체,"60,970","상승 1,085",+1.81%,0,"4,487","7,360",2.66,"211,800",N/A,N/A
497,스틱인베스트먼트,"10,690",상승 200,+1.91%,500,"4,455","41,678",29.40,"164,980",668.12,3.72
498,KODEX 미국종합채권ESG액티브(H),"101,465",하락 225,-0.22%,0,"4,441","4,377",0.02,"8,820",N/A,N/A
499,제주항공,"5,490",상승 90,+1.67%,"1,000","4,427","80,641",2.53,"579,538",-2.75,6.84
500,아세아시멘트,"11,830",하락 300,-2.47%,500,"4,418","37,347",6.50,"62,620",9.91,7.65
501,RISE 미국AI밸류체인데일리고정커버드콜,"13,640",상승 145,+1.07%,0,"4,413","32,350",0.05,"500,598",N/A,N/A
502,코람코라이프인프라리츠,"4,510",상승 10,+0.22%,500,"4,390","97,335",1.74,"93,080",13.30,2.60
503,TCC스틸,"16,600",상승 610,+3.81%,"1,000","4,351","26,214",5.00,"158,758",57.24,8.30
504,삼성FN리츠,"4,765",상승 25,+0.53%,500,"4,339","91,050",0.10,"77,846",140.15,0.80
505,삼양바이오팜,"58,300","하락 5,700",-8.91%,500,"4,335","7,436",7.01,"320,692",N/A,N/A
506,KCC글라스,"27,100",하락 550,-1.99%,"1,000","4,328","15,971",7.40,"49,077",-6.22,2.48
507,KODEX 미국나스닥100데일리커버드콜OTM,"10,420",상승 20,+0.19%,0,"4,314","41,400",0.02,"485,429",N/A,N/A
508,TIGER 차이나휴머노이드로봇,"13,230",상승 95,+0.72%,0,"4,313","32,600",0.18,"1,137,438",N/A,N/A
509,농심홀딩스,"92,900","하락 1,000",-1.06%,"5,000","4,308","4,638",4.15,"21,008",4.07,6.39
510,자화전자,"19,790",상승 460,+2.38%,500,"4,306","21,757",9.96,"110,362",24.92,4.26
511,TIGER 미국S&P500타겟데일리커버드콜,"12,045",하락 10,-0.08%,0,"4,270","35,450",0.03,"348,588",N/A,N/A
512,티웨이항공,"1,567",하락 1,-0.06%,100,"4,265","272,168",0.28,"1,380,081",-1.03,-55.03
513,TIGER 미국S&P500(H),"16,210",상승 25,+0.15%,0,"4,263","26,300",0.12,"192,002",N/A,N/A
514,두산2우B,"474,000","하락 6,500",-1.35%,"5,000","4,233",893,2.40,"1,283",169.47,N/A
515,동국제강,"8,490",하락 40,-0.47%,"5,000","4,212","49,608",26.60,"61,671",-80.09,2.04
516,TIGER TDF2045,"11,740",하락 10,-0.09%,0,"4,185","35,650",0.02,"601,688",N/A,N/A
517,KODEX 로봇액티브,"25,220",상승 450,+1.82%,0,"4,174","16,550",0.95,"1,065,895",N/A,N/A
518,TIGER 코리아AI전력기기TOP3플러스,"13,180",상승 25,+0.19%,0,"4,152","31,500",1.55,"1,878,510",N/A,N/A
519,KODEX 국고채3년,"62,400",하락 30,-0.05%,0,"4,151","6,652",0.02,"40,997",N/A,N/A
520,ACE 베트남VN30(합성),"31,185",상승 65,+0.21%,0,"4,085","13,100",0.08,"236,020",N/A,N/A
521,KODEX 미국서학개미,"24,415",하락 60,-0.25%,0,"4,028","16,500",0.02,"260,041",N/A,N/A
522,TIGER 화장품,"3,395",상승 35,+1.04%,0,"4,025","118,560",0.75,"3,873,994",N/A,N/A
523,YG PLUS,"6,320",상승 10,+0.16%,500,"4,024","63,663",4.33,"261,344",18.53,0.73
524,TIGER CD금리플러스액티브(합성),"1,000,910",상승 60,+0.01%,0,"4,011",401,0.00,"11,349",N/A,N/A
525,DI동일,"20,200",하락 150,-0.74%,500,"3,985","19,729",7.77,"69,351",-36.53,0.28
526,KODEX 골드선물(H),"24,575",하락 55,-0.22%,0,"3,981","16,200",0.03,"94,968",N/A,N/A
527,흥아해운,"1,633",하락 14,-0.85%,500,"3,926","240,425",1.67,"768,093",14.32,20.08
528,부광약품,"3,970",상승 30,+0.76%,500,"3,917","98,665",6.10,"679,711",32.54,-1.12
529,TIGER 글로벌AI전력인프라액티브,"20,435",하락 15,-0.07%,0,"3,903","19,100",0.05,"137,316",N/A,N/A
530,RISE 글로벌원자력,"39,385","하락 1,015",-2.51%,0,"3,899","9,900",0.12,"311,434",N/A,N/A
531,신한 레버리지 WTI원유 선물 ETN(H),778,상승 15,+1.97%,0,"3,890","500,000",0.00,"1,109,790",N/A,N/A
532,대한제강,"16,950",상승 100,+0.59%,"1,000","3,884","22,914",4.57,"12,030",13.75,4.91
533,TIMEFOLIO K바이오액티브,"18,830",하락 540,-2.79%,0,"3,870","20,550",0.18,"1,993,798",N/A,N/A
534,쏘카,"11,780",하락 20,-0.17%,100,"3,869","32,842",1.03,"14,794",-51.22,-15.69
535,INVENI,"67,800","상승 1,100",+1.65%,"5,000","3,865","5,700",10.07,"15,874",5.48,6.16
536,TIGER 미국나스닥100커버드콜(합성),"11,085",하락 5,-0.05%,0,"3,863","34,850",0.02,"126,577",N/A,N/A
537,신세계인터내셔날,"10,930",하락 150,-1.35%,"1,000","3,863","35,343",4.56,"60,443",170.78,3.85
538,PLUS 종합채권(AA-이상)액티브,"113,130",하락 75,-0.07%,0,"3,846","3,400",0.00,308,N/A,N/A
539,KG케미칼,"5,610",상승 30,+0.54%,"1,000","3,841","68,469",10.32,"224,704",4.99,6.62
540,TIGER 글로벌AI액티브,"23,985",상승 80,+0.33%,0,"3,838","16,000",0.08,"82,500",N/A,N/A
541,BGF,"3,990",하락 45,-1.12%,"1,000","3,819","95,717",2.79,"73,971",6.62,5.43
542,KODEX TDF2050액티브,"16,395",하락 5,-0.03%,0,"3,812","23,250",0.02,"159,037",N/A,N/A
543,SOL 미국30년국채커버드콜(합성),"9,435",하락 70,-0.74%,0,"3,807","40,350",0.02,"602,862",N/A,N/A
544,KISCO홀딩스,"26,750",상승 700,+2.69%,"1,000","3,792","14,176",7.78,"3,032",-128.61,2.82
545,더본코리아,"25,600",하락 300,-1.16%,500,"3,783","14,777",0.85,"14,599",9.88,15.52
546,KODEX 반도체레버리지,"26,770",상승 770,+2.96%,0,"3,761","14,050",1.34,"2,058,968",N/A,N/A
547,삼아알미늄,"25,550","상승 1,300",+5.36%,500,"3,759","14,712",36.55,"107,115",-23.19,-3.75
548,대덕,"11,070",상승 200,+1.84%,500,"3,752","33,890",9.22,"131,440",34.06,3.69
549,RISE 미국30년국채엔화노출(합성 H),"8,260",하락 100,-1.20%,0,"3,750","45,400",0.07,"867,237",N/A,N/A
550,TIGER 미국필라델피아반도체레버리지(합성),"44,295",상승 555,+1.27%,0,"3,747","8,460",0.15,"77,373",N/A,N/A
551,KB스타리츠,"3,695",하락 35,-0.94%,500,"3,747","101,414",0.27,"123,844",-3.77,-30.49
552,SOL 미국원자력SMR,"17,305",하락 390,-2.20%,0,"3,721","21,500",0.09,"456,372",N/A,N/A
553,한전산업,"11,340",하락 260,-2.24%,500,"3,697","32,600",2.00,"80,140",-138.29,10.59
554,진에어,"7,080",상승 400,+5.99%,"1,000","3,696","52,200",1.98,"2,234,524",-59.00,51.15
555,NH투자증권우,"19,550",하락 130,-0.66%,"5,000","3,689","18,871",8.94,"38,681",7.97,N/A
556,PLUS 고배당주채권혼합,"14,420",보합 0,0.00%,0,"3,677","25,500",0.02,"399,705",N/A,N/A
557,KODEX 은행,"12,755",하락 265,-2.04%,0,"3,661","28,700",0.99,"1,139,905",N/A,N/A
558,한국철강,"10,000",보합 0,0.00%,"1,000","3,645","36,450",6.91,"14,205",-121.95,2.82
559,SBS,"19,520",상승 60,+0.31%,"5,000","3,621","18,551",0.00,"11,907",7.77,3.80
560,영진약품,"1,976",상승 10,+0.51%,500,"3,614","182,893",3.33,"318,208",-494.00,1.37
561,서연이화,"13,300",하락 130,-0.97%,500,"3,595","27,028",9.19,"111,274",3.28,14.87
562,애경산업,"13,610",하락 110,-0.80%,"1,000","3,594","26,410",2.24,"49,545",11.66,10.81
563,TIGER 일본니케이225,"28,950",하락 85,-0.29%,0,"3,572","12,340",0.10,"48,754",N/A,N/A
564,일진홀딩스,"7,230",하락 50,-0.69%,"1,000","3,568","49,347",6.32,"89,675",8.87,4.95
565,KODEX 미국배당다우존스,"11,080",하락 45,-0.40%,0,"3,568","32,200",0.03,"242,265",N/A,N/A
566,TIGER 미국테크TOP10 INDXX(H),"18,525",상승 50,+0.27%,0,"3,538","19,100",1.23,"169,393",N/A,N/A
567,현대퓨처넷,"3,200",상승 25,+0.79%,500,"3,526","110,203",0.68,"61,341",42.67,0.95
568,한섬,"15,710",하락 220,-1.38%,500,"3,525","22,438",17.30,"76,121",10.00,3.19
569,ACE 미국달러SOFR금리(합성),"12,565",하락 15,-0.12%,0,"3,511","27,940",0.02,"81,626",N/A,N/A
570,대상홀딩스,"9,640",보합 0,0.00%,"1,000","3,491","36,213",6.08,"48,315",15.47,2.70
571,TIGER 미국테크TOP10채권혼합,"14,140",상승 10,+0.07%,0,"3,471","24,550",0.04,"204,849",N/A,N/A
572,ACE 미국30년국채액티브,"10,150",하락 65,-0.64%,0,"3,471","34,200",0.02,"341,764",N/A,N/A
573,SOL 코리아메가테크액티브,"31,645",상승 395,+1.26%,0,"3,465","10,950",0.54,"245,186",N/A,N/A
574,DS단석,"19,700",상승 100,+0.51%,500,"3,464","17,584",2.66,"56,974",-28.72,-3.29
575,삼성전기우,"118,700","하락 1,100",-0.92%,"5,000","3,451","2,907",21.84,"16,754",13.32,N/A
576,우진,"17,060","하락 1,800",-9.54%,500,"3,446","20,198",13.66,"1,939,145",28.06,7.59
577,RISE 글로벌자산배분액티브,"14,780",하락 5,-0.03%,0,"3,444","23,300",0.02,"246,006",N/A,N/A
578,SGC에너지,"23,850",하락 450,-1.85%,"5,000","3,437","14,409",2.78,"20,788",-13.36,8.80
579,콜마홀딩스,"10,020",하락 190,-1.86%,500,"3,436","34,296",22.21,"143,002",7.43,4.09
580,제이에스코퍼레이션,"11,770",하락 120,-1.01%,100,"3,415","29,017",2.38,"83,534",4.41,23.41
581,TIGER 토탈월드스탁액티브,"12,010",하락 10,-0.08%,0,"3,411","28,400",0.08,"159,045",N/A,N/A
582,사조대림,"37,100",하락 350,-0.93%,"5,000","3,400","9,164",1.15,"4,979",6.21,14.27
583,세아제강,"119,600",하락 300,-0.25%,"5,000","3,392","2,836",4.13,"2,711",3.94,12.99
584,삼화콘덴서,"32,400",상승 50,+0.15%,"1,000","3,368","10,395",9.21,"34,101",22.10,8.58
585,유진투자증권,"3,455",하락 15,-0.43%,"5,000","3,347","96,866",9.90,"434,253",5.23,4.81
586,신성이엔지,"1,623",하락 3,-0.18%,500,"3,341","205,848",6.99,"653,506",-27.51,-5.85
587,한국토지신탁,"1,321",하락 5,-0.38%,"1,000","3,335","252,489",4.79,"241,934",-660.50,-1.69
588,RISE 코리아밸류업,"16,965",상승 150,+0.89%,0,"3,334","19,650",0.99,"952,679",N/A,N/A
589,KODEX 은선물(H),"10,010",하락 5,-0.05%,0,"3,333","33,300",0.07,"1,359,035",N/A,N/A
590,넥센,"6,180",하락 190,-2.98%,500,"3,309","53,544",2.35,"97,974",3.71,7.06
591,TIGER 차이나테크TOP10,"13,010",상승 65,+0.50%,0,"3,298","25,350",0.51,"251,762",N/A,N/A
592,SIMPAC,"5,040",상승 10,+0.20%,500,"3,298","65,430",1.51,"147,305",28.00,4.62
593,디앤디플랫폼리츠,"3,720",하락 30,-0.80%,"1,000","3,288","88,400",0.68,"108,148",40.00,1.20
594,PLUS 머니마켓액티브,"52,950",상승 10,+0.02%,0,"3,287","6,208",0.00,"100,825",N/A,N/A
595,서울가스,"65,700",하락 700,-1.05%,"5,000","3,285","5,000",4.29,"5,843",10.96,3.14
596,남해화학,"6,610",하락 20,-0.30%,"1,000","3,284","49,679",2.91,"34,210",9.21,4.84
597,RISE 200TR,"33,320",상승 465,+1.42%,0,"3,282","9,850",0.00,"47,604",N/A,N/A
598,한투 KIS CD금리투자 ETN,"54,605",보합 0,0.00%,0,"3,276","6,000",0.00,0,N/A,N/A
599,TIGER 글로벌자율주행&전기차SOLACTIVE,"15,065",상승 260,+1.76%,0,"3,260","21,640",0.17,"42,013",N/A,N/A
600,KODEX 테슬라커버드콜채권혼합액티브,"9,170",보합 0,0.00%,0,"3,255","35,500",0.04,"239,749",N/A,N/A
601,케이씨,"24,500",하락 500,-2.00%,500,"3,242","13,231",8.93,"33,738",4.37,6.08
602,유나이티드제약,"19,670",상승 20,+0.10%,500,"3,213","16,334",6.66,"27,081",7.69,8.27
603,화신,"9,190",하락 10,-0.11%,500,"3,209","34,920",7.13,"568,702",4.88,11.13
604,수산인더스트리,"22,400",상승 150,+0.67%,200,"3,200","14,286",2.76,"31,936",8.77,7.77
605,모토닉,"11,390",하락 40,-0.35%,500,"3,195","28,050",8.11,"25,421",11.16,7.07
606,코람코더원리츠,"7,900",하락 110,-1.37%,500,"3,192","40,400",1.80,"93,831",138.60,1.17
607,TIGER 지주회사,"16,510",하락 50,-0.30%,0,"3,186","19,300",0.93,"471,934",N/A,N/A
608,광동제약,"6,030",하락 50,-0.82%,"1,000","3,161","52,421",16.71,"81,568",10.83,7.21
609,엘브이엠씨홀딩스,"1,625",하락 39,-2.34%,0,"3,140","193,240",10.57,"412,988",18.26,0.28
610,KPX홀딩스,"74,300","하락 2,600",-3.38%,"5,000","3,139","4,225",28.21,"6,178",3.40,8.02
611,DB,"1,555",하락 7,-0.45%,500,"3,128","201,174",1.68,"938,675",4.37,23.42
612,이리츠코크렙,"4,930",하락 5,-0.10%,500,"3,123","63,342",0.79,"45,207",24.77,2.92
613,SK증권,658,하락 7,-1.05%,500,"3,110","472,590",8.70,"1,353,830",82.25,-13.91
614,아세아제지,"7,460",하락 70,-0.93%,"1,000","3,106","41,633",4.36,"69,921",15.29,2.84
615,KODEX 고배당주,"14,370",하락 70,-0.48%,0,"3,104","21,600",0.36,"303,718",N/A,N/A
616,SOL 금융지주플러스고배당,"17,370",하락 295,-1.67%,0,"3,101","17,850",0.12,"716,696",N/A,N/A
617,일성아이에스,"23,300",보합 0,0.00%,"1,000","3,099","13,300",0.48,"10,143",133.14,3.41
618,한국자산신탁,"2,530",하락 15,-0.59%,500,"3,096","122,374",2.32,"174,407",5.27,3.60
619,TIGER 중장기국채,"51,070",하락 65,-0.13%,0,"3,095","6,060",0.02,"18,199",N/A,N/A
620,TIGER 삼성그룹펀더멘털,"18,800",상승 135,+0.72%,0,"3,079","16,380",0.30,"46,034",N/A,N/A
621,코오롱ENP,"8,070",하락 240,-2.89%,"1,000","3,067","38,000",1.45,"77,080",7.02,13.03
622,TIGER 미국나스닥100(H),"20,410",상승 80,+0.39%,0,"3,062","15,000",0.15,"91,728",N/A,N/A
623,SOL 중단기회사채(A-이상)액티브,"51,195",상승 5,+0.01%,0,"3,053","5,964",0.04,"50,397",N/A,N/A
624,KODEX 미국AI테크TOP10,"15,155",상승 50,+0.33%,0,"3,046","20,100",0.08,"207,650",N/A,N/A
625,화승엔터프라이즈,"5,020",하락 30,-0.59%,500,"3,042","60,589",5.91,"59,764",55.78,6.38
626,신한 레버리지 은 선물 ETN(H),"30,385",하락 95,-0.31%,0,"3,038","10,000",0.00,"205,385",N/A,N/A
627,한진,"19,940",하락 110,-0.55%,"5,000","3,038","15,235",5.64,"14,200",-25.34,-0.31
628,TIGER 미국투자등급회사채액티브(H),"48,980",하락 95,-0.19%,0,"3,030","6,186",0.03,"27,779",N/A,N/A
630,KODEX 단기변동금리부채권액티브,"114,790",하락 5,0.00%,0,"3,013","2,625",0.02,"1,440",N/A,N/A
631,남양유업,"50,100",하락 100,-0.20%,500,"3,006","6,000",7.47,"4,379",17.88,0.04
632,롯데이노베이트,"19,830",하락 150,-0.75%,"5,000","3,000","15,129",1.30,"7,144",28.13,3.07
633,KODEX 코리아밸류업,"16,995",상승 270,+1.61%,0,"3,000","17,650",3.43,"220,545",N/A,N/A
634,삼영무역,"16,010",상승 10,+0.06%,500,"2,957","18,467",17.77,"12,287",5.04,10.70
635,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"10,210",상승 160,+1.59%,0,"2,953","28,920",0.38,"224,251",N/A,N/A
636,TIGER 코리아원자력,"10,915",하락 335,-2.98%,0,"2,947","27,000",0.49,"2,405,531",N/A,N/A
637,이지스밸류플러스리츠,"4,235",상승 5,+0.12%,"1,000","2,941","69,449",2.18,"189,992",17.79,3.15
638,삼성SDI우,"181,600","상승 3,300",+1.85%,"5,000","2,938","1,618",14.57,"8,145",-24.88,N/A
639,노루홀딩스,"22,100",하락 250,-1.12%,500,"2,937","13,291",2.86,"13,017",8.95,11.48
640,일신방직,"12,740",상승 60,+0.47%,500,"2,925","22,960",10.06,"33,753",11.75,3.23
641,국도화학,"31,300",하락 350,-1.11%,"5,000","2,899","9,261",18.99,"10,690",11.44,1.06
642,SOL 미국배당미국채혼합50,"10,735",하락 70,-0.65%,0,"2,898","27,000",0.02,"273,435",N/A,N/A
643,현대코퍼레이션,"21,900",하락 200,-0.90%,"5,000","2,897","13,229",9.37,"21,556",3.82,19.70
644,SOL 미국테크TOP10,"17,145",상승 5,+0.03%,0,"2,880","16,800",0.03,"236,893",N/A,N/A
645,TIGER 바이오TOP10,"8,625",하락 15,-0.17%,0,"2,859","33,150",0.15,"1,442,508",N/A,N/A
646,TYM,"6,340",보합 0,0.00%,"2,500","2,856","45,051",15.39,"152,757",7.04,4.60
647,삼진제약,"20,450",하락 500,-2.39%,"1,000","2,843","13,900",2.95,"51,486",12.87,14.89
648,SJG세종,"10,170",하락 240,-2.31%,500,"2,829","27,821",5.95,"1,646,196",4.24,7.77
649,대원제약,"12,610",상승 70,+0.56%,500,"2,828","22,428",13.65,"34,708",-17.64,5.25
650,KIWOOM 미국양자컴퓨팅,"14,305",하락 105,-0.73%,0,"2,825","19,750",0.08,"363,027",N/A,N/A
651,TIGER 미국나스닥100채권혼합Fn,"13,765",상승 10,+0.07%,0,"2,815","20,450",0.03,"108,219",N/A,N/A
652,KIWOOM 26-09회사채(AA-이상)액티브,"52,195",상승 30,+0.06%,0,"2,813","5,390",0.00,"2,296",N/A,N/A
653,KIWOOM 머니마켓액티브,"53,010",하락 5,-0.01%,0,"2,808","5,298",0.07,"6,818",N/A,N/A
654,SOL 미국AI전력인프라,"20,610",하락 210,-1.01%,0,"2,793","13,550",0.03,"222,277",N/A,N/A
655,대신밸류리츠,"4,670",하락 80,-1.68%,500,"2,792","59,780",0.43,"57,809",N/A,N/A
656,대원전선,"3,620",하락 50,-1.36%,500,"2,771","76,559",4.13,"1,756,122",25.49,6.35
658,세방,"14,460",하락 340,-2.30%,500,"2,764","19,116",11.77,"49,764",5.64,7.81
659,KODEX 장기종합채권(AA-이상)액티브,"97,580",하락 45,-0.05%,0,"2,746","2,814",0.00,266,N/A,N/A
660,KODEX 미국휴머노이드로봇,"16,215",하락 55,-0.34%,0,"2,740","16,900",0.00,"464,352",N/A,N/A
661,백산,"13,330",하락 90,-0.67%,500,"2,738","20,539",5.72,"48,744",6.25,26.75
662,LX하우시스,"30,500",하락 700,-2.24%,"5,000","2,735","8,968",11.46,"18,050",-70.11,5.20
663,SOL 200TR,"21,970",상승 285,+1.31%,0,"2,702","12,300",0.00,"21,286",N/A,N/A
664,RISE AI&로봇,"13,095",상승 315,+2.46%,0,"2,698","20,600",1.08,"1,983,414",N/A,N/A
665,JW홀딩스,"3,645",하락 40,-1.09%,500,"2,695","73,925",2.21,"56,097",6.24,35.43
666,TIMEFOLIO Korea플러스배당액티브,"19,475",상승 100,+0.52%,0,"2,691","13,820",1.04,"189,183",N/A,N/A
667,사조산업,"53,800",하락 800,-1.47%,"5,000","2,690","5,000",1.96,"16,468",13.19,0.86
668,BYC,"42,900","상승 1,050",+2.51%,500,"2,680","6,246",4.97,"3,052",18.65,3.40
669,지누스,"12,040",하락 80,-0.66%,500,"2,679","22,255",11.02,"49,603",7.38,-1.05
670,에이블씨엔씨,"10,260",상승 650,+6.76%,500,"2,669","26,014",10.66,"459,070",23.97,16.26
671,TIGER 미국나스닥100레버리지(합성),"37,055",상승 145,+0.39%,0,"2,668","7,200",0.12,"126,917",N/A,N/A
672,이수화학,"10,140",상승 880,+9.50%,"5,000","2,666","26,294",2.05,"3,067,062",-6.90,-36.16
673,PKC,"5,930",상승 110,+1.89%,500,"2,664","44,918",2.47,"91,998",43.60,1.69
674,아이마켓코리아,"7,930",하락 40,-0.50%,500,"2,651","33,429",5.28,"60,559",10.55,7.66
675,TIGER 미국AI빅테크10타겟데일리커버드콜,"12,540",상승 25,+0.20%,0,"2,640","21,050",0.03,"367,824",N/A,N/A
676,ACE 엔비디아채권혼합,"25,260",하락 75,-0.30%,0,"2,627","10,400",0.04,"83,865",N/A,N/A
677,TIGER 28-04 회사채(A+이상)액티브,"98,985",보합 0,0.00%,0,"2,624","2,651",0.12,"11,103",N/A,N/A
678,잇츠한불,"11,940",상승 140,+1.19%,500,"2,618","21,929",0.84,"12,054",16.01,4.41
679,LS네트웍스,"3,285",하락 155,-4.51%,"5,000","2,589","78,803",1.41,"426,737",-11.82,-7.92
680,넥스틸,"9,930",하락 80,-0.80%,500,"2,582","26,002",2.11,"96,745",6.25,7.64
681,대한제당,"2,875",보합 0,0.00%,500,"2,579","89,697",5.65,"140,043",4.79,3.68
682,KODEX 미국달러선물인버스2X,"4,880",상승 20,+0.41%,0,"2,578","52,820",0.00,"403,826",N/A,N/A
683,KODEX TRF3070,"14,405",상승 25,+0.17%,0,"2,564","17,800",0.03,"54,753",N/A,N/A
684,KPX케미칼,"52,900",보합 0,0.00%,"5,000","2,560","4,840",19.43,0,4.21,9.66
685,스카이라이프,"5,370",상승 20,+0.37%,"2,500","2,552","47,523",7.07,"33,526",-2.17,-21.72
686,대동,"9,580",상승 50,+0.52%,"1,000","2,528","26,393",6.09,"50,725",-49.90,-6.94
687,SOL 팔란티어커버드콜OTM채권혼합,"10,020",상승 5,+0.05%,0,"2,525","25,200",0.02,"325,785",N/A,N/A
689,KODEX 미국나스닥100레버리지(합성 H),"16,495",상승 130,+0.79%,0,"2,507","15,200",0.04,"118,038",N/A,N/A
690,미래에셋 레버리지 원유선물혼합 ETN(H),"6,115",상승 140,+2.34%,0,"2,507","41,000",0.00,"127,635",N/A,N/A
691,KODEX 미국30년국채울트라선물(H),"7,665",하락 45,-0.58%,0,"2,506","32,700",0.02,"91,161",N/A,N/A
692,RISE 단기통안채,"116,445",상승 10,+0.01%,0,"2,498","2,145",0.02,"2,941",N/A,N/A
693,광주신세계,"31,350",하락 50,-0.16%,"1,000","2,495","7,957",5.45,"15,413",6.07,5.58
694,한농화성,"15,930",상승 750,+4.94%,500,"2,491","15,637",1.72,"175,435",43.17,2.74
695,일양약품,"13,050",보합 0,0.00%,"2,500","2,491","19,086",6.36,0,15.54,4.41
696,대한제분,"147,200","하락 3,900",-2.58%,"5,000","2,488","1,690",7.35,"3,035",4.10,4.80
697,서흥,"21,450",하락 900,-4.03%,500,"2,482","11,569",6.79,"92,663",6.29,4.15
698,대원강업,"3,995",하락 90,-2.20%,500,"2,477","62,000",2.82,"55,293",23.64,4.60
699,삼영,"7,270",하락 170,-2.28%,500,"2,472","34,000",2.73,"1,573,490",24.56,11.52
700,한양증권,"19,340",하락 10,-0.05%,"5,000","2,462","12,729",13.05,"28,716",4.67,7.73
701,LG생활건강우,"117,000",하락 900,-0.76%,"5,000","2,457","2,100",42.72,"5,669",31.33,N/A
702,에이프로젠,746,상승 36,+5.07%,500,"2,457","329,305",7.37,"11,771,388",-4.55,-37.91
703,SOL 미국AI소프트웨어,"15,725",상승 165,+1.06%,0,"2,445","15,550",0.09,"234,319",N/A,N/A
704,한투 레버리지 S&P500 선물 ETN(H),"48,470",하락 60,-0.12%,0,"2,424","5,000",0.00,10,N/A,N/A
705,RISE 단기채권알파액티브,"113,905",상승 10,+0.01%,0,"2,412","2,118",0.00,"1,341",N/A,N/A
706,종근당홀딩스,"48,150",하락 600,-1.23%,"2,500","2,412","5,010",3.57,"6,962",6.95,5.84
707,KODEX 바이오,"12,475",하락 225,-1.77%,0,"2,405","19,280",0.18,"1,190,642",N/A,N/A
708,동국홀딩스,"7,560",하락 100,-1.31%,"5,000","2,404","31,800",10.87,"32,910",-15.06,0.72
709,서연,"10,200",하락 50,-0.49%,500,"2,395","23,480",5.23,"72,494",2.37,18.34
710,KODEX 차이나휴머노이드로봇,"10,855",상승 125,+1.16%,0,"2,394","22,050",1.73,"600,652",N/A,N/A
711,무학,"8,390",하락 30,-0.36%,200,"2,391","28,500",2.18,"31,450",4.63,8.72
712,HS효성,"64,100",하락 900,-1.38%,"5,000","2,388","3,726",4.31,"8,830",19.27,N/A
713,KIWOOM 인도Nifty50(합성),"26,450",하락 150,-0.56%,0,"2,380","9,000",0.03,"30,273",N/A,N/A
714,TIGER K방산&우주,"28,485","상승 1,075",+3.92%,0,"2,378","8,350",0.45,"605,276",N/A,N/A
715,성신양회,"9,700",하락 190,-1.92%,"5,000","2,378","24,516",5.72,"58,229",13.02,8.21
716,CR홀딩스,"5,050",상승 20,+0.40%,500,"2,368","46,890",1.08,"12,971",-11.64,-0.39
717,동아지질,"17,650","상승 1,250",+7.62%,500,"2,363","13,390",5.81,"128,244",15.15,5.00
718,방림,"5,870",하락 30,-0.51%,500,"2,360","40,202",0.00,"99,119",101.21,0.41
719,SK디앤디,"12,670",보합 0,0.00%,"1,000","2,359","18,617",1.10,"17,705",3.76,6.64
720,하이트진로홀딩스,"10,160",보합 0,0.00%,"5,000","2,358","23,207",7.89,"10,315",5.65,8.14
721,TIGER 미국채10년선물,"13,365",하락 50,-0.37%,0,"2,352","17,600",0.02,"144,839",N/A,N/A
722,TIGER 헬스케어,"47,310",하락 525,-1.10%,0,"2,347","4,960",3.09,"165,607",N/A,N/A
723,ACE 26-06 회사채(AA-이상)액티브,"11,045",하락 5,-0.05%,0,"2,344","21,220",0.01,"16,562",N/A,N/A
724,TIGER 미국AI빅테크10,"15,450",상승 35,+0.23%,0,"2,341","15,150",0.07,"219,319",N/A,N/A
726,대성산업,"5,140",하락 400,-7.22%,"1,000","2,325","45,235",1.22,"2,400,224",-26.22,1.08
727,RISE 비메모리반도체액티브,"16,275",상승 80,+0.49%,0,"2,324","14,280",1.67,"169,911",N/A,N/A
729,포스코스틸리온,"38,700",하락 50,-0.13%,"5,000","2,322","6,000",1.98,"9,762",8.51,9.25
730,흥국화재,"3,605",하락 75,-2.04%,"5,000","2,316","64,243",1.92,"130,929",3.46,9.97
731,에스엠벡셀,"2,070",하락 15,-0.72%,500,"2,303","111,252",0.98,"116,317",103.50,1.67
732,신세계 I&C,"16,450",하락 260,-1.56%,500,"2,300","13,981",5.46,"90,916",5.39,8.56
733,KODEX 차이나CSI300,"15,430",상승 85,+0.55%,0,"2,284","14,800",0.03,"116,919",N/A,N/A
734,동성케미컬,"4,535",하락 15,-0.33%,"1,000","2,276","50,177",5.00,"177,440",5.97,10.71
735,제일약품,"15,450",보합 0,0.00%,500,"2,272","14,705",2.67,"20,071",11.56,-17.29
736,RISE 2차전지액티브,"7,665",상승 235,+3.16%,0,"2,270","29,620",0.63,"364,047",N/A,N/A
737,한국화장품제조,"50,000",보합 0,0.00%,500,"2,266","4,532",0.70,"9,371",8.11,36.48
738,KODEX 2차전지핵심소재10,"6,240",상승 490,+8.52%,0,"2,265","36,300",1.58,"6,275,062",N/A,N/A
739,TIGER 26-04 회사채(A+이상)액티브,"50,835",상승 5,+0.01%,0,"2,264","4,454",0.00,"2,245",N/A,N/A
740,ACE 단기통안채,"102,770",상승 10,+0.01%,0,"2,260","2,199",0.02,"3,594",N/A,N/A
741,대성에너지,"8,200",보합 0,0.00%,"1,000","2,255","27,500",0.00,"14,011",8.30,5.32
